User,Question,Model,Rating
Soumyadipto Pal,1,Hierarchical,5
Soumyadipto Pal,1,NLI,4
Soumyadipto Pal,1,Fact,4
Soumyadipto Pal,1,Original,4
Nikhil Gupta,1,Hierarchical,5
Nikhil Gupta,1,NLI,4
Nikhil Gupta,1,Fact,5
Nikhil Gupta,1,Original,5
Azimuddin Sheikh,1,Hierarchical,5
Azimuddin Sheikh,1,NLI,5
Azimuddin Sheikh,1,Fact,4
Azimuddin Sheikh,1,Original,4
Soumyadipto Pal,2,Original,4
Soumyadipto Pal,2,Fact,4
Soumyadipto Pal,2,Hierarchical,5
Soumyadipto Pal,2,NLI,3
Nikhil Gupta,2,Original,4
Nikhil Gupta,2,Fact,5
Nikhil Gupta,2,Hierarchical,5
Nikhil Gupta,2,NLI,3
Azimuddin Sheikh,2,Original,4
Azimuddin Sheikh,2,Fact,4
Azimuddin Sheikh,2,Hierarchical,5
Azimuddin Sheikh,2,NLI,5
Soumyadipto Pal,3,Fact,3
Soumyadipto Pal,3,Hierarchical,4
Soumyadipto Pal,3,NLI,4
Soumyadipto Pal,3,Original,5
Nikhil Gupta,3,Fact,5
Nikhil Gupta,3,Hierarchical,5
Nikhil Gupta,3,NLI,4
Nikhil Gupta,3,Original,5
Azimuddin Sheikh,3,Fact,4
Azimuddin Sheikh,3,Hierarchical,5
Azimuddin Sheikh,3,NLI,5
Azimuddin Sheikh,3,Original,5
Soumyadipto Pal,4,NLI,4
Soumyadipto Pal,4,Original,4
Soumyadipto Pal,4,Fact,4
Soumyadipto Pal,4,Hierarchical,5
Nikhil Gupta,4,NLI,5
Nikhil Gupta,4,Original,5
Nikhil Gupta,4,Fact,5
Nikhil Gupta,4,Hierarchical,4
Azimuddin Sheikh,4,NLI,5
Azimuddin Sheikh,4,Original,4
Azimuddin Sheikh,4,Fact,4
Azimuddin Sheikh,4,Hierarchical,5
Soumyadipto Pal,5,Fact,5
Soumyadipto Pal,5,Hierarchical,5
Soumyadipto Pal,5,NLI,4
Soumyadipto Pal,5,Original,4
Nikhil Gupta,5,Fact,5
Nikhil Gupta,5,Hierarchical,5
Nikhil Gupta,5,NLI,4
Nikhil Gupta,5,Original,4
Azimuddin Sheikh,5,Fact,4
Azimuddin Sheikh,5,Hierarchical,5
Azimuddin Sheikh,5,NLI,5
Azimuddin Sheikh,5,Original,5
Soumyadipto Pal,6,Hierarchical,5
Soumyadipto Pal,6,Original,5
Soumyadipto Pal,6,Fact,4
Soumyadipto Pal,6,NLI,5
Nikhil Gupta,6,Hierarchical,5
Nikhil Gupta,6,Original,5
Nikhil Gupta,6,Fact,4
Nikhil Gupta,6,NLI,4
Azimuddin Sheikh,6,Hierarchical,5
Azimuddin Sheikh,6,Original,5
Azimuddin Sheikh,6,Fact,4
Azimuddin Sheikh,6,NLI,5
Soumyadipto Pal,7,NLI,5
Soumyadipto Pal,7,Hierarchical,5
Soumyadipto Pal,7,Fact,4
Soumyadipto Pal,7,Original,4
Nikhil Gupta,7,NLI,5
Nikhil Gupta,7,Hierarchical,5
Nikhil Gupta,7,Fact,4
Nikhil Gupta,7,Original,5
Azimuddin Sheikh,7,NLI,5
Azimuddin Sheikh,7,Hierarchical,5
