Question Number,Document Index,Option A Model,Option B Model,Option C Model,Option D Model,Document Text
1,299,NLI,Original,Fact,Hierarchical,This research assessed the impact of volatile fatty acids recovery and biomethane potential in an in...
2,875,Hierarchical,NLI,Fact,Original,State of charge of an electric vehicle battery pack is a crucial information for the driver . The ac...
3,57,Hierarchical,Original,NLI,Fact,Castration may decrease off odors and improve meat flavor . Meat flavor is generated through complex...
4,422,Fact,Original,NLI,Hierarchical,Emerging nano donor and nano receptor FRET pairs are more advantageous to broad biosensing applicati...
5,721,Hierarchical,NLI,Original,Fact,Recent years the multi objective evolutionary algorithm based on decomposition has been researched a...
6,754,Fact,Hierarchical,Original,NLI,Consumers performing the role of value creators in experience co creation introduces idiosyncrasies ...
7,56,Original,Fact,Hierarchical,NLI,The demand for the development of fast easy to use and low cost analytical methods for food adultera...
8,401,Fact,Original,NLI,Hierarchical,Financial leasing has become a common solution to financing problems encountered by firms . The main...
9,444,Original,NLI,Hierarchical,Fact,Owing to the less energy consumption positive impact on the environment and prospect of providing cl...
10,1004,Original,NLI,Fact,Hierarchical,LCMS MS allows for many measurands monitoring different mass transitions simultaneously . So far suc...
11,657,Hierarchical,Fact,Original,NLI,The knowledge of cancer burden in the population its time trends and the possibility of internationa...
12,685,Original,Hierarchical,Fact,NLI,Fast exhaustion of petroleum reserves and environmental pollution due to the ever growing consumptio...
13,997,Hierarchical,Fact,NLI,Original,In this research our main concern is to address that fluorosis as a global health issue and to provi...
14,523,Fact,NLI,Original,Hierarchical,Global climate change has in recent years increased the frequency and intensity of meteorological di...
15,993,NLI,Hierarchical,Original,Fact,In the present research pH sensitive interpenetrating polymeric network are prepared by interpenetra...
16,816,NLI,Hierarchical,Original,Fact,To describe the process and results of the implementation of a performance based risk sharing arrang...
17,219,Hierarchical,Fact,Original,NLI,In Baltimore the emergence of fentanyl and its analogues exacerbated an existing heroin crisis and i...
18,349,Fact,NLI,Original,Hierarchical,It is difficult for polymeric materials to avoid the conflict between the mechanical properties and ...
19,686,Fact,NLI,Original,Hierarchical,Oleogels developed for foods are typically composed of a vegetable oil and a food grade oleogelator ...
20,965,Hierarchical,Fact,Original,NLI,The advent of nanotechnology has revolutionized the way clinicians are treating cancers . Treatment ...
