Question Number,Document Index,Option A Model,Option B Model,Option C Model,Option D Model,Document Text
1,550,Hierarchical,NLI,Fact,Original,AlInN alloys offer great potential for photovoltaics thanks to their wide direct bandgap covering th...
2,960,Original,Fact,Hierarchical,NLI,Major efforts have been made relating to the development of novel biosorbents applied to remove wast...
3,710,Fact,Hierarchical,NLI,Original,In the cruise operations management literature scant knowledge is available regarding the choice of ...
4,947,NLI,Original,Fact,Hierarchical,Due to limitations of conventional energy sources like petrol diesel hydro nuclear etc . hybridizati...
5,924,Fact,Hierarchical,NLI,Original,The excellent heat transfer performance of open cell metal foams is well utilized in the thermal man...
6,359,Hierarchical,Original,Fact,NLI,We produce balsa based structures by selective removal of lignin . The changes that occur in the mai...
7,727,NLI,Hierarchical,Fact,Original,It is usually very difficult to elicit the parameter values of models representing decision makers p...
8,437,NLI,Hierarchical,Fact,Original,Metal free carbon based polymer nanocomposite membranes were employed for the first time for activat...
9,881,NLI,Hierarchical,Original,Fact,This paper presents an economic model that aims to evaluate from the regulatory perspective the beha...
10,737,Fact,Original,Hierarchical,NLI,Small and medium sized tourism and hospitality enterprises are often susceptible to various hazards ...
11,279,NLI,Hierarchical,Original,Fact,Investigations of stabilized solidified sediment by simulated field construction processes are funda...
12,389,Fact,NLI,Original,Hierarchical,We examine the value of blockchain for disclosing secondhand product quality in a supply chain in wh...
13,396,Fact,NLI,Hierarchical,Original,Multi modal transportation takes advantage of multiple transport modes and can be an effective way t...
14,413,Hierarchical,NLI,Original,Fact,Internet shortens the distance between consumers and firms in a supply chain and facilitates firms t...
15,104,Original,Hierarchical,NLI,Fact,While COVID 19 outbreak has had adverse psychological effects in children with special needs the men...
16,687,Fact,NLI,Original,Hierarchical,Phospholipid is an important constituent of the body as the main component of cell membrane and vari...
17,495,NLI,Original,Fact,Hierarchical,Perfluoroalkyl substances are an emerging class of artificial environmental chemicals that have mult...
18,822,Fact,Hierarchical,Original,NLI,The aim of this study is to evaluate the impact of adopting a pharmaceutical care model on clinical ...
19,338,Hierarchical,NLI,Fact,Original,As a promising ultrasound device the optoacoustic transducer whose core part is an organic inorganic...
20,145,Original,Fact,NLI,Hierarchical,Sound can have a profound impact on our eating experience and behavior . The term sonic seasoning ar...
